Date/Time,avg,max,min
2023-11-08 00:00:00,10.87,13.34,3.44
2023-11-07 00:00:00,12.27,19.23,6.76
2023-11-06 00:00:00,13.47,22.37,8.65
2023-11-05 00:00:00,12.25,21.76,5.88
2023-11-04 00:00:00,11.47,15.42,6
2023-11-03 00:00:00,13.31,18.08,10.47
2023-11-02 00:00:00,13.79,20.86,9.56
2023-11-01 00:00:00,12.55,18.69,9.11
2023-10-31 00:00:00,17.15,24.17,11.96
2023-10-30 00:00:00,15.49,24.94,8.43
2023-10-29 00:00:00,14.36,23.75,8.37
2023-10-28 00:00:00,13.54,20.71,8.29
2023-10-27 00:00:00,16.35,22.42,12.41
2023-10-26 00:00:00,15.71,22.87,11.67
2023-10-25 00:00:00,18.03,23.47,13.97
2023-10-24 00:00:00,16.92,25.08,10.61
2023-10-23 00:00:00,16.63,25.42,11.32
2023-10-22 00:00:00,18.57,25.64,13.13
2023-10-21 00:00:00,20.63,23.82,16.8
2023-10-20 00:00:00,21.5,27.77,15.87
2023-10-19 00:00:00,14.86,22.43,6.81
2023-10-18 00:00:00,9.67,18.61,2.79
2023-10-17 00:00:00,6.96,14.69,1.5
2023-10-16 00:00:00,9.22,14.2,4.94
2023-10-15 00:00:00,13.2,19.44,9.84
2023-10-14 00:00:00,17.58,28.46,10.79
2023-10-13 00:00:00,16.47,26.83,9.55
2023-10-12 00:00:00,16.76,28.2,9.98
2023-10-11 00:00:00,14.93,23.64,9.19
2023-10-10 00:00:00,16.57,20.84,12.97
2023-10-09 00:00:00,14.17,22.19,5.98
2023-10-08 00:00:00,16.74,26.36,10.04
2023-10-07 00:00:00,13.98,23.64,6.62
2023-10-06 00:00:00,15.41,22.6,10.6
2023-10-05 00:00:00,15.93,22.63,10.83
2023-10-04 00:00:00,16.98,25.36,10.57
2023-10-03 00:00:00,16.04,26.13,9.03
2023-10-02 00:00:00,15.52,23.09,10.22
2023-10-01 00:00:00,18.33,23.22,13.58
2023-09-30 00:00:00,18.48,27.88,10.39
2023-09-29 00:00:00,18.55,28.92,11.05
2023-09-28 00:00:00,19.07,28.48,11.64
